X_coordina,Y_coordina,type
1849470,5944218,2
1849468,5944215,2
1849633,5943801,2
1849577,5943792,2
1849546,5943763,2
1849504,5943712,2
1849482,5943653,2
1849515,5943599,2
1849594,5943461,2
1849533,5943376,2
1849484,5943283,2
1849386,5943267,2
1849378,5943200,2
1849490,5944184,2
1849399,5943118,2
1849412,5943094,2
1849424,5943037,2
1849424,5943018,2
1849384,5942963,2
1849362,5942899,2
1849359,5942860,2
1849367,5942798,2
1849370,5942761,2
1849536,5944130,2
1849364,5942738,2
1849330,5942691,2
1849299,5942656,2
1849284,5942640,2
1849271,5942613,2
1849270,5942583,2
1849247,5942558,2
1849234,5942528,2
1849541,5944080,2
1849520,5944005,2
1849557,5943958,2
1849620,5943911,2
1849640,5943894,2
1849650,5943851,2
